Date,Temperature,Precipitation,Wind Speed,Cloud Cover,Pressure
2016/03/24,279.99,0.0000000000,0.76,0.00,96907.69
2016/03/25,282.04,0.0000000000,2.21,0.61,96360.19
2016/03/26,283.41,0.0000000000,3.28,0.02,95947.31
2016/03/27,283.90,0.0000019073,2.23,0.81,96217.38
2016/03/28,279.26,0.0000000000,4.68,0.13,95881.31
2016/03/29,278.01,0.0000000000,1.63,0.00,95692.25
2016/03/30,276.60,0.0000000000,1.91,0.91,95840.12
2016/03/31,281.10,0.0000000000,1.68,0.11,96359.56
2016/04/01,280.77,0.0000000000,1.73,0.30,96466.62
2016/04/02,281.69,0.0000000000,1.33,0.42,96664.31
2016/04/03,284.18,0.0000000000,1.98,0.92,96398.00
2016/04/04,283.18,0.0000000000,2.07,0.61,96612.44
2016/04/05,283.80,0.0000000000,2.17,0.00,96772.19
2016/04/06,286.70,0.0000000000,0.79,0.00,96614.44
2016/04/07,287.91,0.0000000000,2.05,1.00,96037.94
2016/04/08,286.14,0.0000562668,1.46,0.99,95713.50
2016/04/09,286.78,0.0002880096,1.39,1.00,95739.94
2016/04/10,285.57,0.0004911423,1.06,1.00,95689.88
2016/04/11,284.42,0.0000000000,0.35,1.00,96167.00
2016/04/12,283.18,0.0000000000,1.36,0.76,96579.12
2016/04/13,282.03,0.0000000000,1.83,0.98,96684.50
2016/04/14,282.38,0.0000591278,1.61,1.00,96334.50
2016/04/15,279.54,0.0000000000,2.73,0.00,96440.69
2016/04/16,282.70,0.0000000000,0.76,0.00,96433.31
2016/04/17,285.79,0.0000000000,0.90,0.00,96275.38
2016/04/18,286.13,0.0000000000,0.91,0.86,96262.69
2016/04/19,287.24,0.0000000000,1.04,0.98,96178.00
2016/04/20,280.84,0.0000000000,1.29,0.00,95954.56
2016/04/21,285.10,0.0000038147,1.51,0.97,95887.56
2016/04/22,286.26,0.0000004768,3.88,0.93,95662.69
2016/04/23,279.35,0.0000009537,0.99,0.09,96593.00
2016/04/24,283.30,0.0000000000,1.71,0.97,96308.31
2016/04/25,279.22,0.0000000000,3.20,0.01,96032.06
2016/04/26,279.83,0.0000000000,2.03,0.38,96181.50
2016/04/27,281.30,0.0000009537,2.75,0.13,96047.62
2016/04/28,281.50,0.0000000000,2.39,0.03,95621.31
2016/04/29,282.62,0.0000000000,2.11,0.97,96101.00
2016/04/30,285.56,0.0000000000,5.14,0.00,95785.19
2016/05/01,286.07,0.0000000000,1.44,0.00,95578.44
2016/05/02,283.48,0.0000000000,1.01,0.01,96093.94
2016/05/03,286.22,0.0000000000,1.35,0.99,96069.56
2016/05/04,287.09,0.0000038147,1.50,0.99,95656.12
2016/05/05,285.67,0.0000000000,1.87,0.80,95624.50
2016/05/06,285.04,0.0000000000,1.18,0.99,95584.19
2016/05/07,284.34,0.0000000000,1.12,1.00,95771.88
2016/05/08,284.31,0.0000009537,0.38,0.98,95980.12
2016/05/09,286.28,0.0000009537,1.18,0.98,95960.38
2016/05/10,284.36,0.0000000000,1.89,0.79,95945.81
2016/05/11,285.89,0.0000000000,1.55,0.20,96058.69
2016/05/12,286.81,0.0000000000,1.91,0.27,96182.50
2016/05/13,287.09,0.0000052452,2.59,0.57,96020.81
2016/05/14,284.14,0.0000000000,1.33,0.92,96204.88
2016/05/15,285.33,0.0000000000,2.85,0.51,95980.50
2016/05/16,285.17,0.0000000000,2.44,0.39,95958.06
2016/05/17,287.54,0.0000000000,2.81,0.00,95809.12
2016/05/18,290.18,0.0000000000,1.74,0.00,96008.19
2016/05/19,287.35,0.0000009537,3.34,0.38,95735.31
2016/05/20,282.05,0.0000000000,4.62,0.35,95303.06
2016/05/21,282.37,0.0000000000,1.37,0.87,95954.31
2016/05/22,281.13,0.0000000000,1.68,0.72,96339.62
2016/05/23,281.98,0.0000000000,1.29,0.67,96004.25
2016/05/24,284.66,0.0000009537,1.95,0.38,95739.75
2016/05/25,285.00,0.0000000000,2.18,0.75,96266.31
2016/05/26,284.76,0.0000004768,1.71,0.26,96318.38
2016/05/27,284.17,0.0000000000,1.76,0.16,95936.31
2016/05/28,290.00,0.0000000000,0.46,0.72,95589.00
2016/05/29,287.09,0.0000000000,1.54,0.01,95845.69
2016/05/30,286.67,0.0000000000,1.67,0.00,96036.31
2016/05/31,288.62,0.0000000000,1.92,0.02,95750.56
2016/06/01,290.04,0.0000000000,1.74,0.00,95630.69
2016/06/02,288.44,0.0000000000,1.70,0.02,95940.62
2016/06/03,290.76,0.0000000000,0.93,0.00,96150.19
2016/06/04,292.54,0.0000000000,1.26,0.98,95895.19
2016/06/05,289.94,0.0000000000,1.88,0.00,95740.31
2016/06/06,289.28,0.0000000000,2.20,0.30,95487.12
2016/06/07,289.37,0.0000000000,2.50,0.19,95682.69
2016/06/08,288.31,0.0000038147,2.37,0.45,95861.62
2016/06/09,287.33,0.0000028610,2.18,0.21,95816.62
2016/06/10,286.28,0.0000000000,2.22,0.11,95907.81
2016/06/11,285.34,0.0000000000,1.05,0.10,95870.25
2016/06/12,287.75,0.0000000000,1.74,0.02,95989.62
2016/06/13,287.51,0.0000004768,2.15,0.14,96305.06
2016/06/14,284.85,0.0000000000,2.66,0.17,96151.25
2016/06/15,282.76,0.0000000000,2.70,0.04,95882.56
2016/06/16,283.46,0.0000000000,0.86,0.34,96368.75
2016/06/17,285.44,0.0000000000,1.37,0.02,96279.06
2016/06/18,286.26,0.0000000000,2.00,0.07,96527.25
2016/06/19,289.12,0.0000000000,0.07,0.00,96485.00
2016/06/20,288.58,0.0000000000,1.57,0.00,96295.62
2016/06/21,289.87,0.0000000000,1.53,0.00,96272.81
2016/06/22,289.36,0.0000000000,2.39,0.03,96000.12
2016/06/23,287.29,0.0000000000,2.50,0.04,96172.81
2016/06/24,286.42,0.0000000000,2.17,0.04,96291.12
2016/06/25,290.98,0.0000000000,1.57,0.00,96061.12
2016/06/26,289.40,0.0000000000,1.61,0.40,96029.56
2016/06/27,290.99,0.0000000000,2.92,0.01,96193.31
2016/06/28,290.81,0.0000000000,1.89,0.00,96099.12
2016/06/29,289.60,0.0000000000,1.94,0.02,95893.75
2016/06/30,287.92,0.0000000000,2.16,0.02,95754.44
2016/07/01,290.08,0.0000000000,2.27,0.07,95557.75
2016/07/02,289.99,0.0000000000,2.11,0.07,95771.81
2016/07/03,289.24,0.0000000000,2.27,0.02,96056.12
2016/07/04,288.88,0.0000000000,2.21,0.04,96074.44
2016/07/05,288.32,0.0000000000,1.79,0.13,96012.75
2016/07/06,286.98,0.0000000000,2.64,0.10,95931.00
2016/07/07,287.15,0.0000038147,2.58,0.30,95967.69
2016/07/08,287.35,0.0000057220,2.60,0.62,96047.00
2016/07/09,289.18,0.0000038147,1.91,0.29,96276.75
2016/07/10,284.85,0.0000000000,2.72,0.07,96286.50
2016/07/11,287.89,0.0000000000,1.61,0.00,95995.94
2016/07/12,286.96,0.0000000000,2.14,0.11,95873.25
2016/07/13,287.52,0.0000000000,1.69,0.00,96037.69
2016/07/14,289.66,0.0000000000,1.52,0.00,96080.25
2016/07/15,287.97,0.0000000000,1.51,0.03,95884.19
2016/07/16,289.50,0.0000000000,2.26,0.30,95698.94
2016/07/17,287.73,0.0000000000,2.65,0.11,95698.94
2016/07/18,286.95,0.0000019073,2.66,0.29,96144.44
2016/07/19,286.94,0.0000009537,2.37,0.22,96328.06
2016/07/20,286.82,0.0000000000,1.91,0.02,96280.81
2016/07/21,287.73,0.0000000000,2.18,0.04,96250.19
2016/07/22,286.49,0.0000000000,1.97,0.02,96409.12
2016/07/23,289.52,0.0000000000,1.54,0.00,96110.25
2016/07/24,289.47,0.0000000000,1.37,0.01,95691.94
2016/07/25,289.43,0.0000000000,1.88,0.02,95879.44
2016/07/26,292.63,0.0000000000,1.30,0.00,95889.56
2016/07/27,293.17,0.0000000000,1.41,0.00,95810.06
2016/07/28,292.20,0.0000000000,1.49,0.16,95837.44
2016/07/29,292.85,0.0000000000,1.59,0.01,95682.69
2016/07/30,293.27,0.0000000000,1.67,0.00,95459.56
2016/07/31,291.68,0.0000000000,1.59,0.00,95645.25
2016/08/01,289.95,0.0000000000,1.27,0.06,95864.44
2016/08/02,289.18,0.0000000000,1.36,0.09,96049.94
2016/08/03,289.27,0.0000000000,1.68,0.02,96044.50
2016/08/04,288.03,0.0000000000,2.51,0.05,95814.12
2016/08/05,287.30,0.0000000000,2.11,0.26,95727.00
2016/08/06,286.70,0.0000000000,1.79,0.09,95712.12
2016/08/07,286.63,0.0000000000,2.44,0.07,95717.62
2016/08/08,286.60,0.0000000000,1.70,0.07,95619.94
2016/08/09,287.20,0.0000023842,2.18,0.12,95512.44
2016/08/10,288.52,0.0000000000,2.03,0.11,95664.94
2016/08/11,288.77,0.0000000000,1.56,0.05,95959.75
2016/08/12,289.18,0.0000000000,1.69,0.04,96161.81
2016/08/13,290.26,0.0000000000,1.61,0.00,96069.56
2016/08/14,290.87,0.0000000000,1.57,0.00,95843.81
2016/08/15,289.61,0.0000000000,1.69,0.03,95820.38
2016/08/16,288.74,0.0000000000,1.80,0.11,95787.19
2016/08/17,289.31,0.0000000000,1.51,0.05,95656.94
2016/08/18,290.96,0.0000000000,1.39,0.03,95593.12
2016/08/19,290.67,0.0000000000,1.73,0.13,95762.31
2016/08/20,290.75,0.0000000000,1.33,0.27,95935.88
2016/08/21,289.61,0.0000000000,1.98,0.33,95840.44
2016/08/22,289.48,0.0000000000,2.10,0.69,95874.12
2016/08/23,288.73,0.0000000000,1.43,0.06,96141.69
2016/08/24,289.10,0.0000000000,1.50,0.09,96321.12
2016/08/25,287.20,0.0000000000,1.48,0.06,95923.88
2016/08/26,287.77,0.0000000000,1.75,0.17,95761.19
2016/08/27,287.74,0.0000000000,1.70,0.17,95992.62
2016/08/28,287.75,0.0000000000,1.24,0.12,96279.81
2016/08/29,288.27,0.0000000000,1.79,0.25,96315.12
2016/08/30,289.34,0.0000000000,2.30,0.69,96108.75
2016/08/31,288.74,0.0000000000,2.01,0.02,95816.19
2016/09/01,287.64,0.0000057220,2.26,0.20,95957.38
2016/09/02,286.04,0.0000000000,1.79,0.22,95864.94
2016/09/03,287.10,0.0000000000,2.61,0.91,95578.62
2016/09/04,285.00,0.0000000000,2.63,0.31,95528.31
2016/09/05,284.49,0.0000000000,1.30,0.38,95553.69
2016/09/06,285.00,0.0000000000,1.11,0.00,95699.12
2016/09/07,289.45,0.0000000000,0.84,0.00,95803.12
2016/09/08,289.22,0.0000000000,1.78,0.01,96281.06
2016/09/09,287.27,0.0000000000,1.82,0.02,96149.56
2016/09/10,288.09,0.0000000000,1.70,0.05,96199.50
2016/09/11,289.52,0.0000000000,2.02,0.50,96270.81
2016/09/12,286.44,0.0000000000,2.36,0.04,95791.62
2016/09/13,282.55,0.0000000000,1.04,0.37,95641.12
2016/09/14,284.28,0.0000000000,0.43,0.00,96305.31
2016/09/15,284.79,0.0000000000,1.06,0.00,96295.69
2016/09/16,284.93,0.0000000000,1.63,0.00,96055.75
2016/09/17,287.74,0.0000000000,1.56,0.00,96079.25
2016/09/18,288.16,0.0000000000,0.61,0.00,96070.00
2016/09/19,291.35,0.0000000000,1.32,0.00,96027.25
2016/09/20,289.87,0.0000000000,1.61,0.00,96099.38
2016/09/21,289.41,0.0000553131,2.47,0.36,95868.19
2016/09/22,283.53,0.0000004768,3.64,0.07,96010.81
2016/09/23,282.90,0.0000000000,1.58,0.00,96422.31
2016/09/24,288.21,0.0000000000,1.48,0.00,96501.25
2016/09/25,291.76,0.0000000000,0.59,0.00,96390.50
2016/09/26,290.51,0.0000000000,0.95,0.00,96233.31
2016/09/27,289.91,0.0000000000,1.20,0.00,96010.44
2016/09/28,288.28,0.0000000000,1.60,0.00,95816.69
2016/09/29,286.56,0.0000000000,1.62,0.00,96113.06
2016/09/30,285.02,0.0000000000,2.22,0.02,96362.12
2016/10/01,282.28,0.0000000000,2.43,0.00,96451.00
2016/10/02,282.78,0.0000000000,1.92,0.14,96220.06
2016/10/03,279.88,0.0000000000,1.59,0.70,96341.81
2016/10/04,281.80,0.0000000000,0.90,0.35,96149.06
2016/10/05,281.14,0.0000000000,1.46,0.00,96202.62
2016/10/06,283.07,0.0000000000,1.91,0.00,96283.94
2016/10/07,285.44,0.0000000000,0.69,0.97,96240.25
2016/10/08,287.05,0.0000000000,0.86,0.22,95967.06
2016/10/09,287.73,0.0000000000,1.02,0.00,96049.44
2016/10/10,285.52,0.0000000000,1.38,0.89,96005.19
2016/10/11,285.63,0.0000000000,1.44,0.31,96158.88
2016/10/12,283.89,0.0000000000,1.01,0.92,96304.94
2016/10/13,283.50,0.0000000000,1.65,0.99,96338.62
2016/10/14,288.26,0.0000000000,2.79,1.00,96042.19
2016/10/15,287.64,0.0000023842,1.48,0.99,95938.00
2016/10/16,289.23,0.0002508163,3.15,0.95,95743.94
2016/10/17,285.24,0.0000181198,1.31,0.42,96055.75
2016/10/18,281.68,0.0000000000,1.86,0.00,96496.25
2016/10/19,283.01,0.0000000000,1.80,0.02,96731.81
2016/10/20,287.32,0.0000000000,0.47,0.28,96649.12
2016/10/21,287.93,0.0000000000,0.52,0.00,96149.69
2016/10/22,283.75,0.0000000000,0.97,0.13,95810.44
2016/10/23,284.03,0.0000000000,1.04,0.95,95871.81
2016/10/24,287.85,0.0000000000,0.81,1.00,95996.81
2016/10/25,287.63,0.0007581711,2.44,0.92,96265.00
2016/10/26,284.72,0.0000000000,1.51,0.01,96229.50
2016/10/27,287.30,0.0000000000,1.40,0.94,96003.94
2016/10/28,287.87,0.0019173622,1.05,1.00,95756.50
2016/10/29,287.73,0.0000095367,1.32,0.54,96003.44
2016/10/30,285.78,0.0000000000,2.09,0.76,95639.75
2016/10/31,281.70,0.0000000000,1.43,0.54,96371.31
2016/11/01,283.98,0.0000190735,1.24,0.80,96162.12
2016/11/02,280.56,0.0000000000,0.51,0.01,96622.62
2016/11/03,280.88,0.0000000000,0.43,0.00,96729.81
2016/11/04,282.37,0.0000000000,0.77,1.00,96599.62
2016/11/05,283.68,0.0000000000,0.58,0.00,96538.94
2016/11/06,284.33,0.0000000000,1.21,1.00,96413.38
2016/11/07,284.49,0.0000000000,0.33,0.94,96620.06
2016/11/08,284.00,0.0000000000,0.62,0.96,96622.50
2016/11/09,284.92,0.0000000000,0.66,0.98,96549.06
2016/11/10,286.37,0.0000000000,0.91,0.12,96388.81
2016/11/11,285.99,0.0000000000,1.39,0.63,96363.44
2016/11/12,285.57,0.0000000000,1.15,0.90,96527.38
2016/11/13,284.74,0.0000000000,0.59,0.01,96663.00
2016/11/14,283.69,0.0000000000,0.65,0.05,96728.44
2016/11/15,284.63,0.0000023842,1.81,0.62,96542.06
2016/11/16,281.44,0.0000000000,2.81,0.03,96314.12
2016/11/17,276.00,0.0000000000,1.73,0.00,96382.38
2016/11/18,277.23,0.0000000000,1.68,0.01,96268.75
2016/11/19,283.48,0.0000000000,2.90,0.55,95949.06
2016/11/20,284.89,0.0003547668,1.24,0.96,95891.31
2016/11/21,282.82,0.0000004768,1.68,0.41,95981.75
2016/11/22,278.54,0.0000000000,0.85,0.82,96647.06
2016/11/23,281.46,0.0000009537,2.18,0.40,96742.69
2016/11/24,276.68,0.0000000000,0.65,0.00,97163.38
2016/11/25,274.82,0.0000000000,1.07,1.00,96508.50
2016/11/26,280.04,0.0000000000,2.54,0.40,95685.00
2016/11/27,281.46,0.0010051727,3.56,0.95,95905.19
2016/11/28,280.85,0.0003824234,2.17,1.00,96141.56
2016/11/29,278.44,0.0000000000,2.69,0.57,96222.56
2016/11/30,274.71,0.0000000000,1.29,0.07,96556.81
2016/12/01,276.26,0.0000000000,2.55,0.53,96397.81
2016/12/02,278.95,0.0000000000,3.89,0.00,96518.88
2016/12/03,279.78,0.0000000000,0.88,0.08,96848.56
2016/12/04,277.11,0.0000000000,1.10,0.54,96674.19
2016/12/05,280.07,0.0000000000,1.72,0.98,96354.88
2016/12/06,277.63,0.0000000000,1.56,1.00,96169.69
2016/12/07,275.63,0.0000000000,0.91,0.95,96482.81
2016/12/08,279.98,0.0001492500,3.83,1.00,96335.75
2016/12/09,284.77,0.0000076294,1.36,1.00,96805.38
2016/12/10,287.17,0.0000057220,2.24,1.00,96578.19
2016/12/11,280.06,0.0000000000,1.03,1.00,96552.62
2016/12/12,281.05,0.0000000000,0.17,0.99,96501.94
2016/12/13,282.07,0.0000000000,1.46,1.00,96435.19
2016/12/14,282.11,0.0000000000,1.80,1.00,96316.81
2016/12/15,285.67,0.0000071526,3.18,1.00,96032.69
2016/12/16,279.90,0.0000000000,5.00,0.06,95337.56
2016/12/17,273.60,0.0000000000,2.63,0.00,96567.00
2016/12/18,273.81,0.0000000000,0.55,0.00,96988.44
2016/12/19,271.56,0.0000000000,0.88,0.00,97269.06
2016/12/20,273.43,0.0000000000,0.58,0.00,97135.50
2016/12/21,278.40,0.0000000000,1.18,0.47,96564.44
2016/12/22,277.16,0.0000000000,0.36,0.00,96119.19
2016/12/23,280.43,0.0001354218,1.90,1.00,95870.38
2016/12/24,275.57,0.0000000000,2.32,0.17,95504.94
2016/12/25,270.98,0.0000000000,0.95,0.69,96100.00
2016/12/26,272.78,0.0000000000,0.49,0.01,96705.06
2016/12/27,275.23,0.0000000000,0.58,0.98,97150.44
2016/12/28,276.53,0.0000000000,0.74,0.02,97052.38
2016/12/29,277.01,0.0000000000,0.89,0.72,96779.50
2016/12/30,278.63,0.0000000000,0.83,0.99,96367.31
2016/12/31,278.54,0.0000004768,1.55,0.61,95798.62
2017/01/01,277.80,0.0000066757,1.66,0.37,95904.50
2017/01/02,275.92,0.0000286102,1.24,0.99,96022.12
2017/01/03,279.24,0.0007367134,2.87,1.00,96400.25
2017/01/04,284.08,0.0025444031,2.93,1.00,95898.31
2017/01/05,280.41,0.0000009537,1.71,1.00,95959.81
2017/01/06,272.84,0.0000000000,0.27,0.00,96289.44
2017/01/07,278.96,0.0027089119,4.43,1.00,95999.75
2017/01/08,287.36,0.0000982285,5.79,1.00,96017.81
2017/01/09,284.53,0.0003910065,4.63,0.81,96015.00
2017/01/10,283.03,0.0012235641,2.44,1.00,96160.56
2017/01/11,282.87,0.0000443459,4.25,0.34,95525.25
2017/01/12,279.46,0.0017700195,0.55,1.00,95571.94
2017/01/13,276.08,0.0000000000,1.29,0.35,96351.88
2017/01/14,279.27,0.0000000000,0.44,0.64,96761.56
2017/01/15,278.18,0.0000000000,0.37,0.95,96497.50
2017/01/16,278.47,0.0000000000,0.25,0.20,96443.62
2017/01/17,276.29,0.0000000000,1.14,0.03,96407.69
2017/01/18,280.93,0.0001506805,1.20,1.00,96387.75
2017/01/19,279.77,0.0000000000,1.93,0.95,95595.31
2017/01/20,279.78,0.0028810501,6.19,1.00,94382.50
2017/01/21,279.43,0.0004873276,2.02,0.68,94848.44
2017/01/22,280.86,0.0018110275,6.87,1.00,95124.25
2017/01/23,277.05,0.0000028610,1.49,0.97,95266.44
2017/01/24,275.84,0.0001044273,2.54,0.89,95838.38
2017/01/25,272.49,0.0000000000,1.63,0.01,96870.94
2017/01/26,277.20,0.0000000000,0.51,0.53,97288.06
2017/01/27,274.51,0.0000000000,1.15,0.78,97596.69
2017/01/28,274.63,0.0000000000,1.28,0.52,97843.19
2017/01/29,275.14,0.0000000000,0.41,0.00,97540.75
2017/01/30,276.27,0.0000000000,0.94,0.80,96900.69
2017/01/31,279.60,0.0000000000,1.36,0.50,96590.06
2017/02/01,282.39,0.0000000000,1.66,0.84,96088.94
2017/02/02,282.42,0.0009002686,3.64,0.99,95944.69
2017/02/03,285.22,0.0001254082,3.47,0.72,95714.56
2017/02/04,284.14,0.0000009537,1.41,0.56,96367.38
2017/02/05,280.31,0.0000000000,0.72,1.00,96136.19
2017/02/06,284.31,0.0001058578,2.81,1.00,95423.00
2017/02/07,286.00,0.0010194778,4.44,1.00,95675.06
2017/02/08,287.64,0.0003280640,2.81,1.00,96361.25
2017/02/09,287.40,0.0000000000,1.66,1.00,96155.25
2017/02/10,285.33,0.0004425049,1.11,1.00,96056.25
2017/02/11,279.47,0.0000000000,2.00,0.05,96514.00
2017/02/12,277.68,0.0000000000,2.48,0.00,96770.88
2017/02/13,279.72,0.0000000000,0.66,1.00,96542.75
2017/02/14,280.67,0.0000000000,0.88,0.00,96488.06
2017/02/15,283.35,0.0000000000,2.14,0.74,96353.19
2017/02/16,284.91,0.0002937317,3.89,0.66,95721.44
2017/02/17,283.55,0.0003018379,5.16,1.00,94655.75
2017/02/18,282.35,0.0009326935,1.35,1.00,94176.94
2017/02/19,279.02,0.0002956390,0.86,0.98,95569.50
2017/02/20,283.42,0.0038766861,3.70,1.00,95841.56
2017/02/21,283.80,0.0000271797,3.46,0.98,96519.94
2017/02/22,278.19,0.0000004768,2.25,0.12,96863.50
2017/02/23,274.18,0.0000000000,1.76,0.02,96587.69
2017/02/24,271.77,0.0000000000,0.83,0.63,96716.50
2017/02/25,275.03,0.0000038147,1.08,0.19,96600.56
2017/02/26,276.00,0.0000000000,1.46,0.02,95967.19
2017/02/27,276.65,0.0000400543,1.29,0.73,95729.81
2017/02/28,274.35,0.0000000000,2.17,0.01,96191.44
2017/03/01,277.00,0.0000000000,0.72,0.00,97215.62
2017/03/02,278.14,0.0000000000,0.49,0.00,97175.88
2017/03/03,279.82,0.0000000000,0.67,0.34,96620.06
2017/03/04,281.03,0.0000000000,2.10,0.83,95977.56
2017/03/05,279.96,0.0001721382,3.46,0.56,95499.88
2017/03/06,274.75,0.0000085831,1.49,0.62,96671.06
2017/03/07,276.65,0.0000000000,0.71,0.84,97074.62
2017/03/08,279.61,0.0000000000,1.28,0.30,97072.38
2017/03/09,284.67,0.0000000000,0.86,0.00,96744.94
2017/03/10,284.24,0.0000004768,0.96,1.00,96657.62
2017/03/11,286.64,0.0000000000,0.43,0.00,96504.75
2017/03/12,285.03,0.0000000000,2.54,0.14,96683.94
2017/03/13,282.22,0.0000000000,0.75,0.00,96525.69
2017/03/14,285.34,0.0000000000,1.31,0.00,96317.94
2017/03/15,283.96,0.0000000000,1.57,0.22,96318.12
2017/03/16,284.02,0.0000000000,1.79,0.97,96691.56
2017/03/17,280.58,0.0000000000,1.05,0.38,96442.25
2017/03/18,284.61,0.0000000000,1.44,0.97,96144.12
2017/03/19,284.07,0.0000000000,1.03,1.00,96261.12
2017/03/20,284.25,0.0000000000,1.94,0.43,96061.81
2017/03/21,286.92,0.0000109673,3.54,0.99,95767.50
2017/03/22,283.26,0.0006241798,1.83,0.75,96045.00
2017/03/23,279.44,0.0000000000,2.11,0.27,96516.31
